order_id,customer_id,order_date,order_value,product_category,quantity,discount_pct,payment_method,return_flag
O00105,C0009,2023-03-18,344.19,Health,4,0,Debit Card,N
O00106,C0009,2023-04-27,320.48,Clothing,2,0,Apple Pay,N
O00107,C0009,2023-07-04,255.89,Toys,2,5,Bank Transfer,Y
O00108,C0009,2023-08-07,466.62,Electronics,2,10,Debit Card,Y
O00109,C0009,2023-11-01,216.52,Food & Grocery,5,5,PayPal,N
O00110,C0009,2023-11-20,273.06,Automotive,3,10,PayPal,N
O00111,C0010,2022-02-27,80.55,Sports,4,0,Apple Pay,N
O00112,C0010,2022-03-13,62.64,Books,3,0,Bank Transfer,Y
O00113,C0010,2022-03-18,47.27,Toys,3,20,Debit Card,N
O00114,C0010,2022-03-18,18.58,Clothing,3,5,PayPal,N
O00115,C0010,2022-05-23,33.19,Automotive,3,10,PayPal,N
O00116,C0011,2022-02-21,102.05,Toys,3,15,Apple Pay,N
O00117,C0011,2022-08-20,366.1,Home & Garden,1,10,Debit Card,N
O00118,C0011,2022-08-27,354.21,Food & Grocery,4,15,Debit Card,N
O00119,C0011,2022-09-03,214.89,Electronics,1,15,Bank Transfer,N
O00120,C0011,2022-09-06,304.76,Electronics,2,5,Debit Card,N
O00121,C0011,2023-06-28,498.81,Toys,4,0,PayPal,N
O00122,C0011,2023-08-24,83.89,Health,5,0,PayPal,N
O00123,C0011,2023-10-16,270.83,Automotive,5,5,Debit Card,Y
O00124,C0011,2023-11-17,276.57,Sports,1,0,Debit Card,N
O00125,C0012,2022-01-15,63.26,Sports,2,10,Apple Pay,N
O00126,C0012,2022-10-30,58.8,Clothing,4,15,Credit Card,N
O00127,C0012,2022-12-12,98.44,Food & Grocery,3,0,Credit Card,N
O00128,C0013,2022-01-06,74.46,Beauty,2,0,Credit Card,N
O00129,C0013,2022-05-17,82.16,Toys,5,15,PayPal,N
O00130,C0013,2022-06-04,138.58,Books,3,10,Debit Card,N
O00131,C0013,2022-06-18,192.75,Food & Grocery,2,5,Bank Transfer,N
O00132,C0013,2022-10-21,100.69,Automotive,4,20,Bank Transfer,N
O00133,C0013,2022-10-26,159.52,Health,1,10,Apple Pay,Y
O00134,C0013,2023-01-06,149.64,Clothing,5,0,Credit Card,Y
O00135,C0014,2022-03-18,131.08,Food & Grocery,1,15,Debit Card,Y
O00136,C0014,2022-03-26,83.55,Automotive,4,20,Credit Card,N
O00137,C0014,2022-06-17,37.15,Toys,4,10,Credit Card,Y
O00138,C0015,2022-01-23,84.4,Sports,5,0,Credit Card,N
O00139,C0015,2022-09-18,44.28,Clothing,5,0,Credit Card,N
O00140,C0015,2022-11-12,17.7,Toys,2,20,Debit Card,N
O00141,C0015,2023-02-10,46.83,Toys,4,20,Apple Pay,N
O00142,C0016,2022-05-17,176.25,Clothing,2,10,Apple Pay,Y
O00143,C0016,2023-07-07,51.65,Sports,1,20,Credit Card,N
O00144,C0016,2023-11-01,108.71,Automotive,4,10,Apple Pay,N
O00145,C0016,2023-11-09,72.08,Beauty,2,0,Debit Card,N
O00146,C0017,2023-03-06,99.94,Electronics,2,0,Credit Card,N
O00147,C0018,2022-01-23,34.92,Sports,1,0,Bank Transfer,N
O00148,C0018,2022-01-25,34.9,Health,3,10,Bank Transfer,N
O00149,C0018,2022-05-06,35.14,Home & Garden,5,0,Apple Pay,N
O00150,C0018,2022-07-25,38.39,Automotive,5,15,Debit Card,N
O00151,C0018,2022-08-13,62.25,Electronics,3,15,Apple Pay,Y
O00152,C0019,2022-06-02,58.99,Home & Garden,5,5,Debit Card,N
O00153,C0019,2023-02-23,59.1,Home & Garden,4,0,Bank Transfer,N
O00154,C0020,2022-05-18,32.28,Clothing,4,20,PayPal,N
O00155,C0020,2022-09-06,60.53,Sports,1,0,Apple Pay,Y
O00156,C0020,2022-09-19,66.25,Clothing,2,20,Bank Transfer,Y
O00157,C0020,2023-02-02,33.45,Sports,3,0,Credit Card,N
O00158,C0021,2022-05-01,117.09,Food & Grocery,2,15,Bank Transfer,N
O00159,C0022,2022-10-17,54.63,Beauty,3,0,PayPal,Y
O00160,C0022,2022-11-26,90.04,Food & Grocery,1,20,Apple Pay,N
O00161,C0022,2023-01-25,92.72,Beauty,3,5,Credit Card,Y
O00162,C0022,2023-07-20,88.45,Home & Garden,1,0,Bank Transfer,Y
O00163,C0023,2022-06-06,47.29,Sports,4,10,PayPal,N
O00164,C0023,2022-07-20,79.89,Food & Grocery,4,5,Debit Card,N
O00165,C0023,2022-08-24,29.39,Automotive,4,0,Bank Transfer,N
O00166,C0023,2022-10-30,59.54,Clothing,1,20,Credit Card,N
O00167,C0023,2022-12-04,26.69,Sports,1,15,Debit Card,N
O00168,C0024,2022-01-07,303.53,Toys,1,0,Bank Transfer,N
O00169,C0024,2022-01-17,305.01,Books,1,10,Apple Pay,N
O00170,C0024,2022-03-03,124.95,Clothing,5,0,Debit Card,N
O00171,C0024,2023-01-18,340.31,Books,3,0,Apple Pay,N
O00172,C0024,2023-05-10,236.68,Toys,4,10,Debit Card,N
O00173,C0024,2023-05-15,205.99,Clothing,1,0,Apple Pay,N
O00174,C0024,2023-09-24,238.41,Food & Grocery,1,15,Credit Card,N
O00175,C0024,2023-09-25,114.73,Toys,3,10,Credit Card,Y
O00176,C0024,2023-10-16,466.04,Sports,2,20,Bank Transfer,N
O00177,C0024,2023-11-07,193.86,Clothing,3,10,Bank Transfer,N
O00178,C0024,2023-11-14,155.33,Beauty,1,0,Bank Transfer,N
O00179,C0025,2022-03-20,86.39,Home & Garden,1,10,PayPal,N
O00180,C0025,2022-06-16,46.61,Sports,1,0,Bank Transfer,Y
O00181,C0025,2022-09-04,192.33,Toys,3,0,PayPal,N
O00182,C0025,2022-11-03,113.4,Beauty,5,5,Apple Pay,N
O00183,C0025,2023-02-03,145.55,Toys,1,20,Bank Transfer,N
O00184,C0025,2023-02-12,165.67,Clothing,1,0,Debit Card,N
O00185,C0025,2023-07-08,150.99,Home & Garden,4,0,PayPal,N
O00186,C0025,2023-08-01,45.56,Books,4,0,PayPal,N
O00187,C0025,2023-08-04,52.53,Home & Garden,4,5,Bank Transfer,Y
O00188,C0025,2023-11-25,117.11,Clothing,1,0,PayPal,Y
O00189,C0026,2022-06-16,132.28,Electronics,3,5,Apple Pay,N
O00190,C0027,2022-06-23,47.36,Home & Garden,3,0,PayPal,N
O00191,C0027,2022-09-06,27.4,Home & Garden,4,0,Apple Pay,N
O00192,C0027,2023-06-18,56.16,Clothing,3,0,Debit Card,N
O00193,C0027,2023-08-09,65.47,Sports,4,0,Debit Card,N
O00194,C0027,2023-12-03,15.58,Toys,3,20,Bank Transfer,N
O00195,C0028,2022-07-28,70.34,Health,2,0,PayPal,Y
O00196,C0028,2022-07-30,95.52,Sports,4,0,Debit Card,N
O00197,C0028,2022-08-09,97.34,Books,4,10,Debit Card,N
O00198,C0029,2022-07-06,34.81,Health,2,10,Bank Transfer,N
O00199,C0029,2022-07-21,108.62,Automotive,1,15,Apple Pay,N
O00200,C0030,2022-03-12,81.48,Books,2,15,Apple Pay,N
O00201,C0030,2022-05-23,42.57,Health,4,10,Apple Pay,Y
O00202,C0030,2023-02-23,116.12,Toys,5,0,PayPal,Y
O00203,C0030,2023-05-27,130.95,Clothing,1,20,Debit Card,N
O00204,C0030,2023-10-11,58.28,Health,1,10,Apple Pay,N
O00205,C0030,2023-11-21,194.17,Toys,1,0,Credit Card,N
O00206,C0030,2023-12-11,67.74,Automotive,5,10,Bank Transfer,N
O00207,C0031,2022-06-04,199.61,Food & Grocery,1,0,Apple Pay,N
O00208,C0031,2022-12-20,49.73,Home & Garden,3,0,PayPal,N
O00209,C0031,2023-04-20,163.33,Automotive,4,0,Apple Pay,N
O00210,C0031,2023-05-28,104.49,Food & Grocery,3,0,PayPal,N
O00211,C0031,2023-08-26,167.73,Clothing,1,20,PayPal,N
O00212,C0031,2023-11-27,145.11,Home & Garden,2,10,Debit Card,Y
O00213,C0031,2023-12-09,57.22,Automotive,4,5,Debit Card,N
O00214,C0032,2022-01-05,322.49,Automotive,2,0,PayPal,N
O00215,C0032,2022-01-30,272.17,Books,4,10,PayPal,Y
O00216,C0032,2022-03-06,243.23,Toys,5,0,PayPal,N
O00217,C0032,2022-07-22,435.12,Health,2,20,PayPal,Y
O00218,C0032,2022-07-30,327.87,Home & Garden,3,0,Debit Card,N
O00219,C0032,2022-08-08,129.12,Beauty,2,10,Apple Pay,N
O00220,C0032,2022-10-13,330.5,Health,4,5,Debit Card,N
O00221,C0032,2023-02-03,346.91,Home & Garden,5,0,Apple Pay,N
O00222,C0032,2023-02-10,138.92,Beauty,4,10,Credit Card,N
O00223,C0032,2023-03-16,479.77,Food & Grocery,2,0,Apple Pay,Y
O00224,C0032,2023-03-19,292.28,Food & Grocery,4,15,Apple Pay,N
O00225,C0032,2023-04-06,378.26,Food & Grocery,4,0,Credit Card,Y
O00226,C0032,2023-08-30,92.96,Sports,3,0,PayPal,N
O00227,C0032,2023-09-21,305.8,Home & Garden,4,10,Apple Pay,Y
O00228,C0032,2023-10-18,294.54,Health,1,0,Bank Transfer,N
O00229,C0032,2023-11-05,307.66,Electronics,4,10,Debit Card,N
O00230,C0032,2023-12-22,123.01,Sports,3,20,Credit Card,N
O00231,C0032,2023-12-23,190.38,Clothing,4,20,Credit Card,N
O00232,C0033,2022-05-23,421.68,Electronics,5,0,Bank Transfer,N
O00233,C0033,2022-06-19,330.68,Home & Garden,3,15,PayPal,N
O00234,C0033,2022-07-31,320.55,Automotive,1,0,Apple Pay,N
O00235,C0033,2022-12-26,496.84,Home & Garden,2,0,Debit Card,N
O00236,C0033,2023-03-15,427.96,Toys,4,0,Bank Transfer,N
O00237,C0033,2023-08-26,343.68,Toys,4,0,Credit Card,N
O00238,C0033,2023-09-17,296.56,Books,3,5,Apple Pay,N
O00239,C0033,2023-09-23,324.42,Clothing,4,15,PayPal,N
O00240,C0033,2023-10-10,414.18,Toys,2,5,Debit Card,N
O00241,C0033,2023-12-07,192.79,Books,3,10,Bank Transfer,N
O00242,C0033,2023-12-29,317.78,Food & Grocery,3,15,Credit Card,N
O00243,C0034,2022-01-01,498.19,Home & Garden,3,0,PayPal,N
O00244,C0034,2022-01-17,354.93,Books,1,0,Debit Card,N
O00245,C0034,2022-05-08,246.46,Books,2,5,Credit Card,N
O00246,C0034,2022-06-11,80.46,Food & Grocery,1,0,Bank Transfer,N
O00247,C0034,2022-07-27,298.17,Food & Grocery,1,0,PayPal,N
O00248,C0034,2023-03-15,495.03,Toys,2,5,Credit Card,N
O00249,C0034,2023-03-28,240.89,Clothing,1,0,PayPal,N
O00250,C0034,2023-04-13,137.59,Home & Garden,2,0,Bank Transfer,Y
O00251,C0034,2023-04-16,83.56,Home & Garden,4,0,Debit Card,N
O00252,C0035,2022-03-30,350.74,Sports,5,10,Bank Transfer,Y
O00253,C0035,2022-04-13,199.67,Electronics,3,0,Bank Transfer,Y
O00254,C0035,2022-05-07,294.0,Toys,3,15,Credit Card,N
O00255,C0035,2022-05-24,287.85,Clothing,2,5,Bank Transfer,N
O00256,C0035,2022-05-24,301.88,Electronics,3,0,Debit Card,N
O00257,C0035,2022-08-11,441.54,Health,4,0,Bank Transfer,N
O00258,C0035,2022-09-11,400.34,Clothing,1,10,Credit Card,N
O00259,C0035,2022-10-11,190.12,Electronics,1,20,Apple Pay,Y
O00260,C0035,2022-11-19,200.32,Automotive,4,5,Apple Pay,N
O00261,C0035,2022-12-26,349.03,Automotive,5,0,PayPal,N
O00262,C0035,2023-01-29,210.16,Automotive,2,20,Debit Card,Y
O00263,C0035,2023-03-16,217.24,Health,1,0,Apple Pay,N
O00264,C0035,2023-03-30,104.32,Clothing,4,0,Apple Pay,Y
O00265,C0035,2023-08-27,335.71,Books,2,0,Credit Card,N
O00266,C0036,2022-03-02,161.14,Electronics,3,20,Apple Pay,N
O00267,C0036,2022-03-06,119.06,Books,5,15,Credit Card,N
O00268,C0036,2022-03-27,107.38,Beauty,1,5,Bank Transfer,N
O00269,C0036,2022-05-13,92.51,Books,1,10,Credit Card,N
O00270,C0036,2022-05-18,155.93,Electronics,1,20,Credit Card,N
O00271,C0036,2022-06-27,37.82,Beauty,4,0,Debit Card,N
O00272,C0036,2022-07-10,123.99,Toys,2,0,Debit Card,N
O00273,C0036,2022-09-22,185.7,Beauty,3,20,Credit Card,Y
O00274,C0036,2022-09-25,93.38,Automotive,1,0,Debit Card,Y
O00275,C0037,2022-03-12,85.64,Automotive,4,0,PayPal,N
O00276,C0037,2022-10-17,79.57,Books,5,0,Apple Pay,N
O00277,C0037,2022-11-15,130.59,Food & Grocery,2,15,Bank Transfer,N
O00278,C0037,2023-04-22,55.6,Toys,1,0,Bank Transfer,N
O00279,C0038,2022-01-02,197.13,Toys,4,0,Debit Card,N
O00280,C0038,2022-01-10,45.81,Sports,5,5,PayPal,N
O00281,C0038,2022-04-17,195.67,Clothing,5,0,Bank Transfer,N
O00282,C0038,2022-07-30,138.33,Toys,1,10,Bank Transfer,N
O00283,C0038,2022-11-11,103.95,Home & Garden,2,0,PayPal,N
O00284,C0038,2022-12-10,187.43,Toys,3,0,Apple Pay,N
O00285,C0038,2023-01-21,69.71,Sports,2,20,Bank Transfer,N
O00286,C0038,2023-06-27,56.42,Home & Garden,4,5,PayPal,N
O00287,C0038,2023-11-05,50.53,Beauty,2,5,PayPal,N
O00288,C0039,2022-04-03,124.99,Books,5,0,Debit Card,N
O00289,C0039,2022-06-11,39.28,Sports,3,5,Bank Transfer,N
O00290,C0040,2022-01-16,131.1,Automotive,5,0,Credit Card,N
O00291,C0040,2022-03-31,33.25,Home & Garden,1,0,Credit Card,N
O00292,C0040,2022-07-27,36.99,Toys,3,15,Credit Card,Y
O00293,C0041,2022-01-12,52.69,Home & Garden,1,20,PayPal,N
O00294,C0041,2022-02-03,18.63,Food & Grocery,1,0,Bank Transfer,N
O00295,C0041,2022-02-08,84.84,Toys,4,0,Apple Pay,N
O00296,C0041,2022-04-12,29.69,Sports,2,0,PayPal,N
O00297,C0041,2022-11-27,90.09,Electronics,5,10,Bank Transfer,N
O00298,C0042,2022-03-04,63.91,Automotive,2,15,Bank Transfer,N
O00299,C0042,2022-03-31,198.2,Beauty,4,10,Apple Pay,N
O00300,C0042,2022-05-21,185.16,Automotive,3,5,PayPal,N
O00301,C0042,2022-10-14,34.43,Health,2,0,PayPal,N
O00302,C0042,2023-01-28,167.47,Food & Grocery,5,0,Bank Transfer,N
O00303,C0042,2023-02-26,195.58,Clothing,2,15,Debit Card,N
O00304,C0042,2023-03-06,120.73,Electronics,2,10,Apple Pay,N
O00305,C0042,2023-05-06,188.99,Home & Garden,2,0,Bank Transfer,N
O00306,C0042,2023-07-18,167.06,Beauty,5,0,PayPal,Y
O00307,C0043,2022-01-01,465.52,Sports,2,0,Debit Card,N
O00308,C0043,2022-01-21,105.01,Home & Garden,5,15,Debit Card,N
O00309,C0043,2022-02-08,435.52,Beauty,1,0,Apple Pay,Y
O00310,C0043,2022-02-27,122.43,Books,3,0,Debit Card,N
O00311,C0043,2022-04-03,412.57,Food & Grocery,3,0,Bank Transfer,Y
O00312,C0043,2022-06-29,410.54,Sports,5,20,Debit Card,N
O00313,C0043,2022-07-12,208.87,Books,2,0,Credit Card,Y
O00314,C0043,2022-08-13,244.47,Health,1,0,Bank Transfer,N
O00315,C0043,2022-08-27,466.84,Health,2,15,Bank Transfer,N
O00316,C0043,2022-11-13,473.41,Home & Garden,3,15,Credit Card,N
O00317,C0043,2022-12-06,225.66,Beauty,2,15,Credit Card,N
O00318,C0043,2023-05-05,267.58,Books,2,0,Credit Card,N
O00319,C0043,2023-05-18,187.8,Clothing,1,0,Apple Pay,N
O00320,C0043,2023-05-20,387.69,Home & Garden,4,5,Apple Pay,N
O00321,C0043,2023-06-24,309.33,Clothing,4,20,Bank Transfer,N
O00322,C0043,2023-07-10,148.32,Clothing,1,0,Credit Card,N
O00323,C0043,2023-09-09,189.67,Clothing,1,0,Debit Card,N
O00324,C0044,2022-04-06,181.85,Electronics,4,15,Debit Card,Y
O00325,C0044,2022-12-13,181.26,Home & Garden,1,0,PayPal,N
O00326,C0044,2023-07-15,195.65,Toys,5,15,Bank Transfer,N
O00327,C0044,2023-09-01,142.3,Books,2,0,Credit Card,N
O00328,C0044,2023-09-21,127.2,Food & Grocery,2,0,PayPal,N
O00329,C0045,2022-01-14,59.04,Books,1,5,Credit Card,N
O00330,C0045,2022-02-19,163.43,Food & Grocery,4,15,PayPal,N
O00331,C0045,2022-04-13,139.12,Toys,2,0,Apple Pay,N
O00332,C0045,2022-04-16,61.72,Electronics,3,5,Apple Pay,N
O00333,C0045,2022-09-03,68.46,Books,5,0,Debit Card,N
O00334,C0045,2022-11-04,44.57,Beauty,5,5,Bank Transfer,N
O00335,C0045,2022-11-17,124.11,Toys,5,5,Bank Transfer,N
O00336,C0046,2022-03-22,71.32,Electronics,5,10,Bank Transfer,Y
O00337,C0046,2022-11-03,108.08,Health,2,0,Apple Pay,N
O00338,C0046,2023-05-03,143.38,Home & Garden,2,20,Debit Card,N
O00339,C0047,2022-08-11,46.25,Home & Garden,5,0,PayPal,N
O00340,C0048,2022-01-13,326.78,Toys,1,5,Debit Card,N
O00341,C0048,2022-10-10,317.97,Health,1,0,Bank Transfer,N
O00342,C0048,2022-11-30,410.01,Automotive,3,5,PayPal,N
O00343,C0048,2023-02-11,355.01,Health,5,5,Credit Card,N
O00344,C0048,2023-04-15,195.67,Home & Garden,5,10,Apple Pay,N
O00345,C0048,2023-06-17,246.23,Beauty,2,0,Apple Pay,N
O00346,C0048,2023-07-20,456.75,Electronics,3,20,PayPal,N
O00347,C0048,2023-10-01,197.75,Food & Grocery,1,20,Debit Card,N
O00348,C0048,2023-12-19,206.2,Food & Grocery,3,0,Apple Pay,Y
O00349,C0049,2022-04-19,118.73,Beauty,1,10,Debit Card,N
O00350,C0049,2022-07-28,60.45,Automotive,4,0,Bank Transfer,Y
O00351,C0049,2022-09-06,23.76,Sports,2,20,Credit Card,N
O00352,C0050,2022-07-23,92.62,Food & Grocery,5,5,Credit Card,N
O00353,C0050,2022-10-08,71.13,Food & Grocery,5,5,Debit Card,N
O00354,C0050,2023-01-05,129.77,Beauty,3,0,PayPal,N
O00355,C0050,2023-12-23,78.46,Toys,1,0,Bank Transfer,N
O00356,C0051,2023-11-25,46.88,Toys,5,0,Credit Card,N
O00357,C0052,2022-01-09,258.0,Toys,3,5,PayPal,N
O00358,C0052,2022-08-18,276.01,Automotive,5,5,Bank Transfer,N
O00359,C0052,2022-09-16,83.09,Beauty,5,15,Bank Transfer,Y
O00360,C0052,2022-10-09,198.72,Clothing,4,0,PayPal,N
O00361,C0052,2022-11-09,349.05,Books,3,15,PayPal,N
O00362,C0052,2023-09-08,142.97,Sports,1,20,Bank Transfer,N
O00363,C0052,2023-09-15,357.42,Home & Garden,1,15,Apple Pay,N
O00364,C0052,2023-10-21,188.96,Toys,4,5,Credit Card,Y
O00365,C0052,2023-12-28,377.39,Health,2,0,Debit Card,Y
O00366,C0052,2023-12-31,348.09,Food & Grocery,3,10,PayPal,N
O00367,C0053,2022-04-02,236.11,Health,3,5,Credit Card,N
O00368,C0053,2022-04-10,102.54,Health,5,10,Credit Card,N
O00369,C0053,2022-05-12,453.56,Automotive,1,20,Apple Pay,Y
O00370,C0053,2022-07-05,205.31,Electronics,2,0,Debit Card,N
O00371,C0053,2022-07-07,251.86,Health,4,0,PayPal,N
O00372,C0053,2022-08-16,407.16,Food & Grocery,3,15,Debit Card,N
O00373,C0053,2022-08-17,346.49,Electronics,4,0,Debit Card,N
O00374,C0053,2022-09-22,322.04,Home & Garden,4,20,Credit Card,N
O00375,C0053,2022-10-28,338.08,Toys,4,5,Apple Pay,N
O00376,C0053,2022-11-11,81.96,Automotive,2,15,PayPal,N
O00377,C0053,2022-12-06,454.64,Automotive,2,0,Credit Card,N
O00378,C0053,2022-12-10,175.03,Beauty,3,0,Credit Card,N
O00379,C0053,2022-12-30,291.4,Books,2,0,Credit Card,N
O00380,C0053,2023-03-07,478.35,Food & Grocery,5,10,Bank Transfer,N
